Address,City,State,Zip_code,File Date,Neighborhood,Lat_long
600 Block of Naples  Street,San Francisco,CA,94112,03/07/2000,Excelsior,"(37.7184930524687, -122.432910929483)"
2300 Block of Hyde  Street,San Francisco,CA,94109,03/07/2000,Russian Hill,"(37.802452375309, -122.4197740233)"
100 Block of Seal Rock  Drive,San Francisco,CA,94121,03/07/2000,Lincoln Park,"(37.7807287078777, -122.508889613268)"
3600 Block of Sacramento  Street,San Francisco,CA,94118,03/07/2000,Presidio Heights,"(37.7875021794425, -122.452780220848)"
200 Block of Amazon  Avenue,San Francisco,CA,94112,03/06/2000,Excelsior,"(37.7165258798523, -122.438300255713)"
500 Block of Linden  Street,San Francisco,CA,94102,03/06/2000,Hayes Valley,"(37.7759460939084, -122.42700422266)"
1200 Block of San Bruno  Avenue,San Francisco,CA,94110,03/06/2000,Mission,"(37.7537627386021, -122.404354788602)"
1600 Block of Church  Street,San Francisco,CA,94131,03/06/2000,Noe Valley,"(37.7448938219392, -122.42685321965)"
1700 Block of Waller  Street,San Francisco,CA,94117,03/06/2000,Haight Ashbury,"(37.7683921775937, -122.452524250877)"
1300 Block of Lyon   Street,San Francisco,CA,94115,03/06/2000,Presidio Heights,"(37.7829473264261, -122.444562416176)"
0 Block of Manzanita  Avenue,San Francisco,CA,94118,03/06/2000,Presidio Heights,"(37.7851350481642, -122.451021710495)"
1200 Block of 12th  Avenue,San Francisco,CA,94132,03/06/2000,Inner Sunset,"(37.7648423519363, -122.469518821131)"
400 Block of Fell  Street,San Francisco,CA,94102,03/06/2000,Hayes Valley,"(37.7756934454478, -122.425208793779)"
4300 Block of Irving  Street,San Francisco,CA,94122,03/06/2000,Sunset/Parkside,"(37.7623012517402, -122.50444817899)"
400 Block of Buchanan  Street,San Francisco,CA,94102,03/03/2000,Hayes Valley,"(37.7741637045812, -122.427430803704)"
2200 Block of 29th  Avenue,San Francisco,CA,94116,03/03/2000,Sunset/Parkside,"(37.7453733952583, -122.486668794153)"
0 Block of Granada  Avenue,San Francisco,CA,94112,03/03/2000,Oceanview/Merced/Ingleside,"(37.7191314851686, -122.457220948416)"
4800 Block of California  Street,San Francisco,CA,94118,03/02/2000,Inner Richmond,"(37.7845420049197, -122.469369874085)"
700 Block of Vallejo  Street,San Francisco,CA,94133,03/02/2000,Chinatown,"(37.7985755825084, -122.409233778141)"
1900 Block of 8th  Avenue,San Francisco,CA,94116,03/02/2000,Inner Sunset,"(37.751571847164, -122.464361555134)"
3100 Block of Gough  Street,San Francisco,CA,94123,03/02/2000,Marina,"(37.8023180684949, -122.428184547557)"
2400 Block of 32nd  Avenue,San Francisco,CA,94116,03/02/2000,Sunset/Parkside,"(37.7415063192204, -122.489486072293)"
0 Block of Seal Rock  Drive,San Francisco,CA,94121,02/29/2000,Outer Richmond,"(37.7807044997029, -122.507049889986)"
3900 Block of 17th  Street,San Francisco,CA,94114,02/29/2000,Castro/Upper Market,"(37.7624627652024, -122.434659092335)"
0 Block of Woodland  Avenue,San Francisco,CA,94117,02/29/2000,Inner Sunset,"(37.7633699800045, -122.453383627542)"
4100 Block of 23rd  Street,San Francisco,CA,94114,02/29/2000,Noe Valley,"(37.752880207171, -122.435352179919)"
200 Block of 28th  Avenue,San Francisco,CA,94121,02/28/2000,Seacliff,"(37.7844681847236, -122.488340220535)"
322200 Block of Sixteen  Street,San Francisco,CA,94103,02/28/2000,Mission,"(37.7647550884351, -122.425483296826)"
300 Block of 31st  Avenue,San Francisco,CA,94121,02/28/2000,Outer Richmond,"(37.7826555341211, -122.491436722435)"
100 Block of Cook  Street,San Francisco,CA,94118,02/28/2000,Lone Mountain/USF,"(37.7811643493908, -122.452074517886)"
600 Block of Lakeview  Street,San Francisco,CA,94112,02/25/2000,Oceanview/Merced/Ingleside,"(37.7181756935657, -122.458674754505)"
800 Block of Geneva  Avenue,San Francisco,CA,94112,02/25/2000,Outer Mission,"(37.7176145242537, -122.441878692531)"
500 Block of Birch  Street,San Francisco,CA,94102,02/24/2000,Hayes Valley,"(37.7779129268231, -122.425714837488)"
2100 Block of 16th  Avenue,San Francisco,CA,94116,02/24/2000,West of Twin Peaks,"(37.7478510533066, -122.472876696617)"
2364 Fulton St,San Francisco,CA,94117,02/23/2000,,"(2110444.95807652, 5996443.27926911)"
1100 Block of Burrows  Street,San Francisco,CA,94134,02/23/2000,Portola,"(37.7263897099369, -122.41477811799)"
1800 Block of 40th  Avenue,San Francisco,CA,94122,02/23/2000,Sunset/Parkside,"(37.7523178323206, -122.498838207639)"
500 Block of Delta  Street,San Francisco,CA,94134,02/23/2000,Visitacion Valley,"(37.7134439330397, -122.409276110036)"
900 Block of Potrero  Avenue,San Francisco,CA,94110,02/22/2000,Potrero Hill,"(37.7572895902018, -122.406870402494)"
4200 Block of 26th  Avenue,San Francisco,CA,94131,02/22/2000,Noe Valley,"(37.7480845302421, -122.434884668155)"
2100 Block of 36th  Avenue,San Francisco,CA,94116,02/22/2000,Sunset/Parkside,"(37.7469112225006, -122.494162942947)"
1300 Block of 3rd  Avenue,San Francisco,CA,94122,02/22/2000,Inner Sunset,"(37.7636193487953, -122.459908045964)"
200 Block of Thrift  Street,San Francisco,CA,94112,02/22/2000,Oceanview/Merced/Ingleside,"(37.717504210624, -122.459652862279)"
1400 Block of 18th  Street,San Francisco,CA,94107,02/18/2000,Potrero Hill,"(37.7624956589249, -122.397005667183)"
100 Block of Apollo  Street,San Francisco,CA,94124,02/17/2000,Bayview Hunters Point,"(37.7308870601171, -122.398877822272)"
100 Block of Gaven  Street,San Francisco,CA,94134,02/17/2000,Portola,"(37.7334255425067, -122.408644392984)"
2000 Block of Balboa  Street,San Francisco,CA,94121,02/17/2000,Outer Richmond,"(37.7765280188848, -122.480715063319)"
1600 Block of Church  Street,San Francisco,CA,94131,02/16/2000,Noe Valley,"(37.7448938219392, -122.42685321965)"
2600 Block of Clement  Street,San Francisco,CA,94121,02/15/2000,Outer Richmond,"(37.7819538726974, -122.487556413463)"
2300 Block of North Point  Street,San Francisco,CA,94123,02/14/2000,Marina,"(37.8025116132694, -122.445913521472)"
1700 Block of WALLER  STREET,San Francisco,CA,94114,02/14/2000,Haight Ashbury,"(37.7683921775937, -122.452524250877)"
400 Block of Paul  Avenue,San Francisco,CA,94124,02/14/2000,Bayview Hunters Point,"(37.7232919729606, -122.399663555977)"
1300 Block of 3RD  AVENUE,San Francisco,CA,94122,02/14/2000,Inner Sunset,"(37.7636193487953, -122.459908045964)"
100 Block of Belvedere  Street,San Francisco,CA,94117,02/14/2000,Haight Ashbury,"(37.7678093223925, -122.449195702869)"
100 Block of Hancock  Street,San Francisco,CA,94114,02/14/2000,Castro/Upper Market,"(37.7603452098561, -122.431611636471)"
0 Block of San Carlos  Street,San Francisco,CA,94110,02/14/2000,Mission,"(37.762223454264, -122.420240258128)"
200 Block of 10th  Avenue,San Francisco,CA,94118,02/14/2000,Inner Richmond,"(37.7836890584252, -122.468703013781)"
1400 Block of 11th  Avenue,San Francisco,CA,94122,02/11/2000,Inner Sunset,"(37.7611463396061, -122.468324974669)"
100 Block of 12th  Avenue,San Francisco,CA,94118,02/11/2000,Inner Richmond,"(37.7854527500685, -122.471117140339)"
0 Block of Norton  Street,San Francisco,CA,94112,02/11/2000,Outer Mission,"(37.7250514705635, -122.435709128271)"
500 Block of 3rd  Avenue,San Francisco,CA,94118,02/11/2000,Inner Richmond,"(37.7783106692064, -122.460794716522)"
1300 Block of Leavenworth  Street,San Francisco,CA,94109,02/10/2000,Russian Hill,"(37.7934440923031, -122.416270691744)"
1500 Block of Baker  Street,San Francisco,CA,94115,02/10/2000,Presidio Heights,"(37.7852839589264, -122.443344755862)"
2000 Block of Bush   Street,San Francisco,CA,94115,02/10/2000,Pacific Heights,"(37.7873900851763, -122.431001780672)"
2000 Block of 24th  Avenue,San Francisco,CA,94116,02/10/2000,Sunset/Parkside,"(37.749344456132, -122.481436054364)"
1500 Block of 32nd  Avenue,San Francisco,CA,94122,02/09/2000,Sunset/Parkside,"(37.7582883709834, -122.490660056388)"
2400 Block of 47th  Avenue,San Francisco,CA,94116,02/09/2000,Sunset/Parkside,"(37.7407846482198, -122.505694431039)"
600 Block of Castro  Street,San Francisco,CA,94114,02/09/2000,Castro/Upper Market,"(37.7584836230991, -122.434844610371)"
800 Block of Union   Street,San Francisco,CA,94133,02/09/2000,Russian Hill,"(37.7999825840539, -122.41330642755)"
400 Block of Steiner  Street,San Francisco,CA,94117,02/09/2000,Haight Ashbury,"(37.7732844425071, -122.432441917998)"
100 Block of Acadia  Street,San Francisco,CA,94131,02/09/2000,West of Twin Peaks,"(37.7319838501682, -122.437390626115)"
3700 Block of 16th  Street,San Francisco,CA,94114,02/09/2000,Castro/Upper Market,"(37.7640554924758, -122.43593703419)"
1400 Block of Golden Gate  Avenue,San Francisco,CA,94115,02/08/2000,Western Addition,"(37.7793039658852, -122.434429450653)"
300 Block of Hamilton  Street,San Francisco,CA,94134,02/08/2000,Portola,"(37.7266668121264, -122.409840333071)"
1400 Block of Golden Gate  Avenue,San Francisco,CA,94115,02/08/2000,Western Addition,"(37.7793039658852, -122.434429450653)"
300 Block of 31st  Avenue,San Francisco,CA,94121,02/07/2000,Outer Richmond,"(37.7826555341211, -122.491436722435)"
700 Block of Frederick  Street,San Francisco,CA,94117,02/07/2000,Inner Sunset,"(37.7659077964046, -122.456186927304)"
1100 Block of Jackson  Street,San Francisco,CA,94133,02/07/2000,Nob Hill,"(37.7950387631228, -122.413995680134)"
1700 Block of Larkin  Street,San Francisco,CA,94109,02/07/2000,Russian Hill,"(37.7939187841113, -122.419597525731)"
100 Block of Page  Street,San Francisco,CA,94102,02/07/2000,Hayes Valley,"(37.7740413442898, -122.423188032512)"
200 Block of Amazon  Avenue,San Francisco,CA,94112,02/06/2000,Excelsior,"(37.7165258798523, -122.438300255713)"
1300 Block of Natoma  Street,San Francisco,CA,94103,02/06/2000,Mission,"(37.7675637958561, -122.418410340932)"
500 Block of Oak  Street,San Francisco,CA,94102,02/06/2000,Hayes Valley,"(37.7742307091618, -122.428351459374)"
500 Block of 46th  Avenue,San Francisco,CA,94121,02/06/2000,Outer Richmond,"(37.7780985639158, -122.507232671845)"
1800 Block of Great Highway,San Francisco,CA,94122,02/04/2000,Sunset/Parkside,"(37.7519049388195, -122.508240719923)"
100 Block of San Carlos  Street,San Francisco,CA,94110,02/04/2000,Mission,"(37.7609931883543, -122.41998256681)"
2700 Block of McAllister  Street,San Francisco,CA,94118,02/04/2000,Lone Mountain/USF,"(37.7753072501274, -122.457443299685)"
100 Block of Thrift  Street,San Francisco,CA,94112,02/04/2000,Oceanview/Merced/Ingleside,"(37.7174111102509, -122.457582605848)"
3600 Block of Irving  Street,San Francisco,CA,94122,02/03/2000,Sunset/Parkside,"(37.7626328790864, -122.496945438294)"
0 Block of Santa Rosa  Avenue,San Francisco,CA,94112,02/03/2000,Outer Mission,"(37.7261934135726, -122.435022228819)"
1800 Block of 26th  Avenue,San Francisco,CA,94122,02/03/2000,Sunset/Parkside,"(37.7529746576537, -122.483978131646)"
1200 Block of 38th  Avenue,San Francisco,CA,94122,02/03/2000,Sunset/Parkside,"(37.7636074446779, -122.497481002595)"
3600 Block of Irving   Street,San Francisco,CA,94122,02/03/2000,Sunset/Parkside,"(37.7626328790864, -122.496945438294)"
100 Block of Garfield  Street,San Francisco,CA,94132,02/02/2000,Oceanview/Merced/Ingleside,"(37.7198107505018, -122.46401052184)"
1300 Block of Union  Street,San Francisco,CA,94109,02/02/2000,Russian Hill,"(37.7988120848601, -122.421501930436)"
1400 Block of Jackson  Street,San Francisco,CA,94109,02/02/2000,Russian Hill,"(37.7944063705313, -122.418921298602)"
1400 Block of Jackson  Street,San Francisco,CA,94109,02/02/2000,Russian Hill,"(37.7944063705313, -122.418921298602)"
1100 Block of Church  Street,San Francisco,CA,94114,02/02/2000,Noe Valley,"(37.7528749336587, -122.427474292904)"
0 Block of Woodward  Street,San Francisco,CA,94103,02/02/2000,Mission,"(37.7690674249356, -122.420926625054)"
200 Block of Brazil  Avenue,San Francisco,CA,94112,02/01/2000,Excelsior,"(37.7237881253503, -122.43279607791)"
800 Block of 26th  Avenue,San Francisco,CA,94121,02/01/2000,Outer Richmond,"(37.7734509196397, -122.485398727908)"
1400 Block of 15th  Street,San Francisco,CA,94103,02/01/2000,Mission,"(37.7667835909616, -122.417091749323)"
800 Block of 35th  Avenue,San Francisco,CA,94121,02/01/2000,Outer Richmond,"(37.7730106511306, -122.495040258898)"
5400 Block of Fulton  Street,San Francisco,CA,94121,01/31/2000,Outer Richmond,"(37.772355746133, -122.49008215581)"
0 Block of Santa Rosa  Avenue,San Francisco,CA,94112,01/28/2000,Outer Mission,"(37.7261934135726, -122.435022228819)"
600 Block of 36th  Avenue,San Francisco,CA,94121,01/28/2000,Outer Richmond,"(37.7766932077389, -122.496388199343)"
5500 Block of Fulton  Street,San Francisco,CA,94121,01/27/2000,Outer Richmond,"(37.7723067563199, -122.491156439065)"
322200 Block of 16th  Street,San Francisco,CA,94103,01/26/2000,Mission,"(37.7647550884351, -122.425483296826)"
200 Block of Orange  Alley,San Francisco,CA,94110,01/26/2000,Mission,"(37.749736714153, -122.419926108285)"
2100 Block of 32nd  Avenue,San Francisco,CA,94116,01/25/2000,Sunset/Parkside,"(37.7471008167879, -122.489874705116)"
1800 Block of Great Highway,San Francisco,CA,94122,01/25/2000,Sunset/Parkside,"(37.7519049388195, -122.508240719923)"
4500 Block of 18th  Street,San Francisco,CA,94114,01/21/2000,Castro/Upper Market,"(37.7605510677775, -122.439668464683)"
2200 Block of 19th  Avenue,San Francisco,CA,94116,01/21/2000,Sunset/Parkside,"(37.7458449403349, -122.475965779666)"
4500 Block of 18th  Street,San Francisco,CA,94114,01/21/2000,Castro/Upper Market,"(37.7605510677775, -122.439668464683)"
2500 Block of 32nd  Avenue,San Francisco,CA,94116,01/21/2000,Sunset/Parkside,"(37.739636575286, -122.489492440245)"
1800 Block of Great Highway,San Francisco,CA,94122,01/20/2000,Sunset/Parkside,"(37.7519049388195, -122.508240719923)"
500 Block of 18TH  AVENUE,San Francisco,CA,94121,01/20/2000,Outer Richmond,"(37.7775714176795, -122.477101447759)"
200 Block of 8th  Avenue,San Francisco,CA,94118,01/20/2000,Inner Richmond,"(37.7837855384025, -122.466559447777)"
700 Block of MYRA  WAY,San Francisco,CA,94127,01/20/2000,West of Twin Peaks,"(37.7406173949065, -122.45172659247)"
100 Block of Tiffany  Avenue,San Francisco,CA,94110,01/19/2000,Bernal Heights,"(37.7452107322817, -122.421105631133)"
700 Block of Treat  Street,San Francisco,CA,94110,01/19/2000,Mission,"(37.7581584715355, -122.413592286188)"
0 Block of Blake  Street,San Francisco,CA,94118,01/18/2000,Presidio Heights,"(37.7828143654587, -122.451355869625)"
1000 Block of Scott  Street,San Francisco,CA,94115,01/14/2000,Western Addition,"(37.7791795081821, -122.436863237012)"
3500 Block of Scott  Street,San Francisco,CA,94123,01/14/2000,Marina,"(37.8027568646223, -122.441636161881)"
314500 Block of Cabrillo  Street,San Francisco,CA,94121,01/14/2000,Outer Richmond,"(37.7740144389315, -122.492359299513)"
1300 Block of 19th  Avenue,San Francisco,CA,94122,01/14/2000,Sunset/Parkside,"(37.7626209617586, -122.477231223053)"
1700 Block of 28th  Avenue,San Francisco,CA,94122,01/13/2000,Sunset/Parkside,"(37.7547459752611, -122.486251948431)"
2000 Block of Hayes  Street,San Francisco,CA,94117,01/13/2000,Lone Mountain/USF,"(37.7733660130955, -122.450138886894)"
1600 Block of 34th  Avenue,San Francisco,CA,94122,01/12/2000,Sunset/Parkside,"(37.756325480845, -122.492809753877)"
2500 Block of 40th  Avenue,San Francisco,CA,94116,01/12/2000,Sunset/Parkside,"(37.7392647599412, -122.497924563105)"
100 Block of Wawona  Street,San Francisco,CA,94127,01/12/2000,West of Twin Peaks,"(37.7406080048691, -122.467230817618)"
0 Block of Blake  Street,San Francisco,CA,94118,01/12/2000,Presidio Heights,"(37.7828143654587, -122.451355869625)"
2000 Block of 15th  Street,San Francisco,CA,94114,01/11/2000,Castro/Upper Market,"(37.7661513079563, -122.429377891544)"
1500 Block of Shafter  Street,San Francisco,CA,94124,01/11/2000,Bayview Hunters Point,"(37.7305535567992, -122.389751028995)"
600 Block of Precita  Avenue,San Francisco,CA,94110,01/11/2000,Bernal Heights,"(37.7480941049648, -122.408196138446)"
800 Block of Geneva  Avenue,San Francisco,CA,94112,01/10/2000,Outer Mission,"(37.7176145242537, -122.441878692531)"
1000 Block of Plymouth  Avenue,San Francisco,CA,94112,01/10/2000,Oceanview/Merced/Ingleside,"(37.7209397718143, -122.456068339263)"
1300 Block of 16th  Avenue,San Francisco,CA,94122,01/10/2000,Inner Sunset,"(37.7627751423447, -122.4737788926)"
900 Block of Capp  Street,San Francisco,CA,94110,01/10/2000,Mission,"(37.7515013196942, -122.417348330576)"
0 Block of Chicago  Way,San Francisco,CA,94112,01/10/2000,Excelsior,"(37.7105474338522, -122.429045901168)"
700 Block of 8th   Avenue,San Francisco,CA,94118,01/10/2000,Inner Richmond,"(37.7743379670635, -122.465881851207)"
2700 Block of Harrison  Street,San Francisco,CA,94110,01/10/2000,Mission,"(37.7534334658919, -122.411904549498)"
2700 Block of Harrison  Street,San Francisco,CA,94110,01/10/2000,Mission,"(37.7534334658919, -122.411904549498)"
