Address,City,State,Zip_code,File Date,Neighborhood,Lat_long
1200 Block of Vicente  Street,San Francisco,CA,94116,08/14/2000,Sunset/Parkside,"(37.7391671217145, -122.480256362055)"
1100 Block of Kearny  Street,San Francisco,CA,94133,08/11/2000,North Beach,"(37.7985353015404, -122.405486521242)"
1100 Block of Kearny  Street,San Francisco,CA,94133,08/11/2000,North Beach,"(37.7985353015404, -122.405486521242)"
1100 Block of Kearny  Street,San Francisco,CA,94133,08/11/2000,North Beach,"(37.7985353015404, -122.405486521242)"
1100 Block of Kearny  Street,San Francisco,CA,94133,08/11/2000,North Beach,"(37.7985353015404, -122.405486521242)"
1100 Block of Kearny  Street,San Francisco,CA,94133,08/11/2000,North Beach,"(37.7985353015404, -122.405486521242)"
1100 Block of Kearny  Street,San Francisco,CA,94133,08/11/2000,North Beach,"(37.7985353015404, -122.405486521242)"
1100 Block of Kearny  Street,San Francisco,CA,94133,08/11/2000,North Beach,"(37.7985353015404, -122.405486521242)"
1100 Block of Kearny  Street,San Francisco,CA,94133,08/11/2000,North Beach,"(37.7985353015404, -122.405486521242)"
1100 Block of Kearny  Street,San Francisco,CA,94133,08/11/2000,North Beach,"(37.7985353015404, -122.405486521242)"
1100 Block of Kearny  Street,San Francisco,CA,94133,08/11/2000,North Beach,"(37.7985353015404, -122.405486521242)"
1100 Block of Kearny  Street,San Francisco,CA,94133,08/11/2000,North Beach,"(37.7985353015404, -122.405486521242)"
1100 Block of Kearny  Street,San Francisco,CA,94133,08/11/2000,North Beach,"(37.7985353015404, -122.405486521242)"
1100 Block of Kearny  Street,San Francisco,CA,94133,08/11/2000,North Beach,"(37.7985353015404, -122.405486521242)"
1100 Block of Kearny  STreet,San Francisco,CA,94133,08/11/2000,North Beach,"(37.7985353015404, -122.405486521242)"
1100 Block of Kearny  Street,San Francisco,CA,94133,08/11/2000,North Beach,"(37.7985353015404, -122.405486521242)"
1100 Block of Kearny  Street,San Francisco,CA,94133,08/11/2000,North Beach,"(37.7985353015404, -122.405486521242)"
1100 Block of Kearny  Street,San Francisco,CA,94133,08/11/2000,North Beach,"(37.7985353015404, -122.405486521242)"
1100 Block of Kearny  Street,San Francisco,CA,94133,08/11/2000,North Beach,"(37.7985353015404, -122.405486521242)"
700 Block of Brunswick  Street,San Francisco,CA,94112,08/10/2000,Excelsior,"(37.708649171941, -122.448732919097)"
0 Block of Gladys  Street,San Francisco,CA,94110,08/10/2000,Bernal Heights,"(37.7394765719674, -122.422865684271)"
0 Block of Gladys  Street,San Francisco,CA,94110,08/10/2000,Bernal Heights,"(37.7394765719674, -122.422865684271)"
0 Block of Gladys  Street,San Francisco,CA,94110,08/10/2000,Bernal Heights,"(37.7394765719674, -122.422865684271)"
0 Block of Gladys  Street,San Francisco,CA,94110,08/10/2000,Bernal Heights,"(37.7394765719674, -122.422865684271)"
700 Block of De Haro  Street,San Francisco,CA,94107,08/10/2000,Potrero Hill,"(37.7603674078503, -122.401206803748)"
0 Block of Gladys  Street,San Francisco,CA,94110,08/10/2000,Bernal Heights,"(37.7394765719674, -122.422865684271)"
1200 Block of 12th  Avenue,San Francisco,CA,94122,08/01/2000,Inner Sunset,"(37.7648423519363, -122.469518821131)"
1200 Block of 12th  Avenue,San Francisco,CA,94122,08/01/2000,Inner Sunset,"(37.7648423519363, -122.469518821131)"
1200 Block of 12th  Avenue,San Francisco,CA,94122,08/01/2000,Inner Sunset,"(37.7648423519363, -122.469518821131)"
1200 Block of 12th  Avenue,San Francisco,CA,94122,08/01/2000,Inner Sunset,"(37.7648423519363, -122.469518821131)"
500 Block of Clayton  Street,San Francisco,CA,94117,07/21/2000,Haight Ashbury,"(37.770273091608, -122.448605047541)"
3600 Block of Webster  Street,San Francisco,CA,94123,07/21/2000,Marina,"(37.8042813822784, -122.435331634961)"
1600 Block of Page  Street,San Francisco,CA,94117,07/21/2000,Haight Ashbury,"(37.7707784943854, -122.447934641401)"
1600 Block of Page  Street,San Francisco,CA,94117,07/21/2000,Haight Ashbury,"(37.7707784943854, -122.447934641401)"
500 Block of Clayton   Street,San Francisco,CA,94117,07/21/2000,Haight Ashbury,"(37.770273091608, -122.448605047541)"
2200 Block of 15th  Street,San Francisco,CA,94114,07/19/2000,Castro/Upper Market,"(37.7658493244187, -122.434368974143)"
2200 Block of 15th  Street,San Francisco,CA,94114,07/19/2000,Castro/Upper Market,"(37.7658493244187, -122.434368974143)"
2200 Block of 15th  Street,San Francisco,CA,94114,07/19/2000,Castro/Upper Market,"(37.7658493244187, -122.434368974143)"
2200 Block of 15th  Street,San Francisco,CA,94114,07/19/2000,Castro/Upper Market,"(37.7658493244187, -122.434368974143)"
800 Block of Dolores  Street,San Francisco,CA,94110,07/19/2000,Noe Valley,"(37.7558217833897, -122.42568060406)"
1600 Block of Clement  Street,San Francisco,CA,94121,07/17/2000,Outer Richmond,"(37.7823284143698, -122.476836729401)"
1600 Block of Clement  Street,San Francisco,CA,94121,07/17/2000,Outer Richmond,"(37.7823284143698, -122.476836729401)"
1700 Block of Wawona  Street,San Francisco,CA,94116,07/12/2000,Sunset/Parkside,"(37.7368128955231, -122.486164631986)"
300 Block of Pierce  Street,San Francisco,CA,94109,07/11/2000,Haight Ashbury,"(37.7730935009904, -122.433947267932)"
300 Block of Pierce  Street,San Francisco,CA,94109,07/11/2000,Haight Ashbury,"(37.7730935009904, -122.433947267932)"
300 Block of Pierce  Street,San Francisco,CA,94109,07/11/2000,Haight Ashbury,"(37.7730935009904, -122.433947267932)"
2400 Block of Clement  Street,San Francisco,CA,94121,07/07/2000,Outer Richmond,"(37.7819452293621, -122.485405658733)"
2400 Block of Clement  Street,San Francisco,CA,94121,07/07/2000,Outer Richmond,"(37.7819452293621, -122.485405658733)"
1600 Block of Clement  Street,San Francisco,CA,94121,07/05/2000,Outer Richmond,"(37.7823284143698, -122.476836729401)"
1600 Block of Clement  Street,San Francisco,CA,94121,07/05/2000,Outer Richmond,"(37.7823284143698, -122.476836729401)"
400 Block of Elizabeth  Street,San Francisco,CA,94114,07/03/2000,Noe Valley,"(37.7523486316106, -122.43084439501)"
400 Block of Shrader  Street,San Francisco,CA,94110,06/29/2000,Haight Ashbury,"(37.7707800456507, -122.452080187765)"
2200 Block of Francisco  Street,San Francisco,CA,94123,06/29/2000,Marina,"(37.8010711539781, -122.44221268398)"
400 Block of Shrader  Street,San Francisco,CA,94110,06/29/2000,Haight Ashbury,"(37.7707800456507, -122.452080187765)"
2200 Block of Francisco  Street,San Francisco,CA,94123,06/29/2000,Marina,"(37.8010711539781, -122.44221268398)"
400 Block of Shrader  Street,San Francisco,CA,94110,06/29/2000,Haight Ashbury,"(37.7707800456507, -122.452080187765)"
400 Block of Oak  Street,San Francisco,CA,94102,06/28/2000,Hayes Valley,"(37.7745478675847, -122.426728379661)"
400 Block of Oak  Street,San Francisco,CA,94102,06/28/2000,Hayes Valley,"(37.7745478675847, -122.426728379661)"
